spanish_name;english_name;iso3;phone_code;currency_name;currency_code;currency_symbol
Turkmenistán;Turkmenistan;TKM;993;Manat turcomano;TMT;None
Turquía;Turkey;TUR;90;Lira turca;TRY;₤
Tuvalu;Tuvalu;TUV;688;Dólar australiano;AUD;$
Ucrania;Ukraine;UKR;380;Grivna;UAH;None
Uganda;Uganda;UGA;256;Chelín ugandés;UGX;None
Uruguay;Uruguay;URY;598;Peso uruguayo;UYU;None
Uzbekistán;Uzbekistan;UZB;998;Som uzbeko;UZS;None
Vanuatu;Vanuatu;VUT;678;Vatu;VUV;None
Venezuela;Venezuela;VEN;58;Bolívar fuerte;VEF;None
Vietnam;Vietnam;VNM;84;Dong vietnamita;VND;None
Wallis y Futuna;Wallis and Futuna;WLF;681;None;None;None
Yemen;Yemen;YEM;967;Rial yemení;YER;None
Yibuti;Djibouti;DJI;253;Franco yibutiano;DJF;None
Zambia;Zambia;ZMB;260;Kwacha zambiano;ZMW;None
Zimbabue;Zimbabwe;ZWE;263;Dólar estadounidense;USD;$
